boro_Brooklyn,room_Shared room,room_Private room,availability_365_scaled,never_reviewed,boro_Staten Island,boro_Queens,boro_Manhattan,host_small,host_individual,geo_3,geo_1,price_log,price,neighbourhood,neighbourhood_group,room_type,geo_cluster_raw,host_scale_raw
True,False,True,1.2258856386337431,0,False,False,False,True,False,False,False,4.262679877041316,70,Bedford-Stuyvesant,Brooklyn,Private room,5,small
True,False,True,1.7709831699551482,0,False,False,False,True,False,False,False,4.499809670330265,89,South Slope,Brooklyn,Private room,5,small
True,False,True,1.962918920420432,1,False,False,False,False,True,False,False,3.58351893845611,35,Bedford-Stuyvesant,Brooklyn,Private room,0,individual
True,False,False,-0.6704395759632574,0,False,False,False,True,False,False,False,4.454347296253507,85,Bushwick,Brooklyn,Entire home/apt,0,small
True,False,True,1.962918920420432,1,False,False,False,False,True,False,False,5.017279836814924,150,Flatbush,Brooklyn,Private room,5,individual
False,True,False,0.6040138071262247,0,False,False,True,True,False,False,True,3.713572066704308,40,Lower East Side,Manhattan,Shared room,1,small
False,False,True,-0.1023097545860184,0,False,False,True,True,False,False,True,4.23410650459726,68,East Village,Manhattan,Private room,1,small
True,False,False,1.8093703200482047,0,False,False,False,False,True,False,False,4.795790545596741,120,South Slope,Brooklyn,Entire home/apt,5,individual
True,False,True,1.5483376994154192,0,False,False,False,False,True,False,False,4.795790545596741,120,Fort Greene,Brooklyn,Private room,5,individual
False,False,True,1.2565953587081884,0,False,False,True,False,True,False,False,4.912654885736052,135,Upper West Side,Manhattan,Private room,2,individual
False,False,False,1.5329828393781966,0,False,False,True,False,True,False,False,5.017279836814924,150,Harlem,Manhattan,Entire home/apt,2,individual
True,False,False,-0.1099871846046297,0,False,False,False,False,True,False,False,5.017279836814924,150,Prospect-Lefferts Gardens,Brooklyn,Entire home/apt,5,individual
False,False,True,0.8113044176287307,0,False,True,False,False,True,False,True,4.875197323201151,130,Long Island City,Queens,Private room,1,individual
True,False,False,1.1951759185592976,0,False,False,False,False,True,False,False,4.709530201312334,110,Bedford-Stuyvesant,Brooklyn,Entire home/apt,5,individual
True,False,False,-0.8393430363727069,0,False,False,False,False,True,False,False,4.7535901911063645,115,Bedford-Stuyvesant,Brooklyn,Entire home/apt,0,individual
True,False,True,0.63472352720067,0,False,False,False,True,False,False,False,4.394449154672439,80,Fort Greene,Brooklyn,Private room,5,small
True,False,True,1.087691898298739,0,False,False,False,True,False,False,False,4.394449154672439,80,Bedford-Stuyvesant,Brooklyn,Private room,0,small
False,False,False,1.479240829247917,0,False,False,True,False,True,False,False,5.0238805208462765,151,Upper West Side,Manhattan,Entire home/apt,2,individual
True,False,False,0.2354971662328804,0,False,False,False,False,True,False,False,5.43372200355424,228,Williamsburg,Brooklyn,Entire home/apt,0,individual
True,False,False,0.9571755879823464,0,False,False,False,False,True,False,True,4.976733742420574,144,Greenpoint,Brooklyn,Entire home/apt,1,individual
False,False,False,1.133756478410407,0,False,False,True,False,True,False,True,5.303304908059076,200,Kips Bay,Manhattan,Entire home/apt,1,individual
True,False,False,-0.6090201358143668,0,False,False,False,False,True,False,False,5.017279836814924,150,Williamsburg,Brooklyn,Entire home/apt,0,individual
False,False,True,1.4715633992293058,0,False,False,True,False,True,False,True,4.709530201312334,110,Lower East Side,Manhattan,Private room,1,individual
False,False,True,1.4178213890990266,0,False,False,True,True,False,False,True,4.248495242049359,69,Hell's Kitchen,Manhattan,Private room,1,small
True,False,True,1.6174345695829213,0,False,False,False,True,False,False,False,3.912023005428146,49,Greenpoint,Brooklyn,Private room,0,small
False,False,False,0.3429811864934391,0,False,False,True,False,True,False,True,5.198497031265826,180,SoHo,Manhattan,Entire home/apt,1,individual
True,False,True,1.179821058522075,0,False,False,False,False,True,False,True,4.394449154672439,80,Williamsburg,Brooklyn,Private room,1,individual
False,False,False,0.9341432979265122,0,False,False,True,True,False,False,False,5.525452939131784,250,Upper East Side,Manhattan,Entire home/apt,2,small
True,False,False,1.4408536791548603,0,False,False,False,True,False,False,False,5.303304908059076,200,Prospect Heights,Brooklyn,Entire home/apt,5,small
True,False,True,1.402466529061804,0,False,False,False,True,False,False,False,4.02535169073515,55,Clinton Hill,Brooklyn,Private room,5,small
False,False,True,0.6270460971820587,0,False,False,True,False,True,False,True,3.970291913552122,52,Hell's Kitchen,Manhattan,Private room,1,individual
True,False,False,-0.8393430363727069,0,False,False,False,False,True,False,False,5.420534999272286,225,Park Slope,Brooklyn,Entire home/apt,5,individual
False,False,True,-0.2865680750326905,0,False,False,True,True,False,False,True,4.394449154672439,80,East Village,Manhattan,Private room,1,small
True,False,False,1.9398866303645972,0,False,False,False,False,True,False,True,5.62040086571715,275,Williamsburg,Brooklyn,Entire home/apt,1,individual
False,False,True,1.7402734498807026,0,False,False,True,True,False,False,True,4.605170185988092,99,East Village,Manhattan,Private room,1,small
False,False,False,0.8113044176287307,0,False,False,True,False,True,False,False,5.420534999272286,225,East Harlem,Manhattan,Entire home/apt,2,individual
False,False,False,0.0512388457862083,0,False,False,True,False,True,False,True,5.442417710521793,230,East Village,Manhattan,Entire home/apt,1,individual
False,False,True,-0.1637291947349091,0,False,False,True,False,True,False,True,3.951243718581428,51,Hell's Kitchen,Manhattan,Private room,1,individual
False,False,True,1.7402734498807026,0,False,False,True,True,False,False,False,4.189654742026425,65,Washington Heights,Manhattan,Private room,2,small
True,False,True,1.49459568928514,0,False,False,False,False,True,False,False,4.663439094112067,105,Clinton Hill,Brooklyn,Private room,5,individual
False,False,False,0.8804012877962328,0,False,False,True,False,True,False,True,5.25227342804663,190,East Village,Manhattan,Entire home/apt,1,individual
False,False,True,1.632789429620144,0,False,False,True,False,True,False,False,5.303304908059076,200,Upper East Side,Manhattan,Private room,2,individual
False,False,True,1.6481442896573666,0,False,True,False,False,True,False,False,4.262679877041316,70,Woodside,Queens,Private room,0,individual
True,False,True,0.1740777260839897,0,False,False,False,False,True,False,False,4.564348191467836,95,Fort Greene,Brooklyn,Private room,5,individual
False,False,True,1.425498819117638,0,False,False,True,False,True,False,True,5.017279836814924,150,Chelsea,Manhattan,Private room,1,individual
True,False,True,0.9878853080567916,0,False,False,False,True,False,False,True,4.983606621708336,145,Williamsburg,Brooklyn,Private room,1,small
False,False,False,0.7652398375170627,0,False,False,True,False,True,False,False,4.709530201312334,110,Harlem,Manhattan,Entire home/apt,2,individual
False,False,False,1.678854009731812,0,False,False,True,False,True,False,True,5.655991810819852,285,Lower East Side,Manhattan,Entire home/apt,1,individual
True,False,False,-0.5476006956654761,0,False,False,False,False,True,False,False,4.875197323201151,130,Flatbush,Brooklyn,Entire home/apt,5,individual
False,False,True,0.6040138071262247,0,False,False,True,False,True,False,True,4.553876891600541,94,Lower East Side,Manhattan,Private room,1,individual
True,False,False,1.248917928689577,0,False,False,False,False,True,False,False,4.663439094112067,105,Williamsburg,Brooklyn,Entire home/apt,0,individual
False,False,True,-0.6397298558888121,0,False,False,True,False,True,False,True,4.110873864173311,60,East Village,Manhattan,Private room,1,individual
False,False,True,-0.8393430363727069,0,False,False,True,False,True,False,True,3.9318256327243257,50,East Village,Manhattan,Private room,1,individual
True,False,True,1.3717568089873584,0,False,False,False,True,False,False,True,4.454347296253507,85,Williamsburg,Brooklyn,Private room,1,small
True,False,True,1.5944022795270874,0,False,False,False,False,True,False,False,4.189654742026425,65,Bushwick,Brooklyn,Private room,0,individual
True,False,False,0.7498849774798401,0,False,False,False,False,True,False,False,4.882801922586371,131,Prospect Heights,Brooklyn,Entire home/apt,5,individual
True,False,True,0.5809815170703907,0,False,False,False,False,False,False,False,4.59511985013459,98,Clinton Hill,Brooklyn,Private room,5,commercial
True,False,False,0.3736909065678845,0,False,False,False,False,True,False,False,5.525452939131784,250,Prospect Heights,Brooklyn,Entire home/apt,5,individual
True,False,False,-0.8393430363727069,0,False,False,False,False,True,False,False,4.61512051684126,100,Williamsburg,Brooklyn,Entire home/apt,0,individual
True,False,False,-0.7702461662052048,0,False,False,False,True,False,False,False,4.663439094112067,105,Bushwick,Brooklyn,Entire home/apt,0,small
False,False,False,0.6807881073123381,0,False,False,True,False,True,False,False,4.948759890378168,140,Upper West Side,Manhattan,Entire home/apt,2,individual
False,False,True,1.962918920420432,0,False,False,True,False,True,False,False,4.499809670330265,89,Harlem,Manhattan,Private room,2,individual
False,False,True,1.9552414904018205,0,False,False,True,True,False,False,True,4.59511985013459,98,Chelsea,Manhattan,Private room,1,small
True,False,False,1.5483376994154192,0,False,False,False,True,False,False,False,4.836281906951478,125,Bedford-Stuyvesant,Brooklyn,Entire home/apt,0,small
False,False,True,0.8420141377031761,0,False,False,True,True,False,False,False,4.110873864173311,60,Harlem,Manhattan,Private room,2,small
True,False,False,1.7863380299923708,0,False,False,False,True,False,False,False,5.170483995038151,175,Carroll Gardens,Brooklyn,Entire home/apt,5,small
False,False,True,1.5560151294340303,0,False,False,True,False,True,False,False,4.189654742026425,65,Washington Heights,Manhattan,Private room,2,individual
True,False,True,0.3276263264562165,0,False,False,False,False,True,False,False,4.624972813284271,101,Williamsburg,Brooklyn,Private room,0,individual
True,False,False,-0.7702461662052048,0,False,False,False,False,True,False,False,5.3981627015177525,220,Park Slope,Brooklyn,Entire home/apt,5,individual
True,False,False,0.2124648761770464,0,False,False,False,True,False,False,False,4.836281906951478,125,Bedford-Stuyvesant,Brooklyn,Entire home/apt,0,small
True,False,False,0.8650464277590102,0,False,False,False,False,True,False,False,4.394449154672439,80,Williamsburg,Brooklyn,Entire home/apt,0,individual
False,False,True,1.817047750066816,0,False,False,True,False,True,False,False,4.61512051684126,100,Harlem,Manhattan,Private room,2,individual
True,False,False,0.7575624074984514,0,False,False,False,False,True,False,False,5.303304908059076,200,Gowanus,Brooklyn,Entire home/apt,5,individual
False,False,True,1.3026599388198563,0,False,False,True,True,False,False,True,4.0943445622221,59,Hell's Kitchen,Manhattan,Private room,1,small
True,False,True,1.0800144682801276,0,False,False,False,False,False,False,False,4.836281906951478,125,Clinton Hill,Brooklyn,Private room,5,commercial
False,False,False,0.4197554866795525,0,False,False,True,False,True,False,True,4.948759890378168,140,East Village,Manhattan,Entire home/apt,1,individual
True,False,False,0.63472352720067,0,False,False,False,True,False,False,False,4.795790545596741,120,South Slope,Brooklyn,Entire home/apt,5,small
False,False,False,1.156788768466241,0,False,False,True,False,True,False,True,5.298317366548036,199,Kips Bay,Manhattan,Entire home/apt,1,individual
True,False,False,-0.0178580243812937,0,False,False,False,False,True,False,True,5.786897381366708,325,Williamsburg,Brooklyn,Entire home/apt,1,individual
False,False,False,0.6884655373309494,0,False,False,True,False,True,False,True,5.4638318050256105,235,Upper West Side,Manhattan,Entire home/apt,1,individual
False,False,False,1.4562085391920832,0,False,False,True,True,False,False,True,5.420534999272286,225,East Village,Manhattan,Entire home/apt,1,small
True,False,True,-0.6857944360004802,0,False,False,False,True,False,False,False,4.605170185988092,99,South Slope,Brooklyn,Private room,5,small
False,False,False,1.602079709545699,0,False,False,True,False,True,False,False,5.14166355650266,170,Harlem,Manhattan,Entire home/apt,2,individual
False,False,False,0.8804012877962328,0,False,False,True,False,True,False,True,5.14166355650266,170,Upper West Side,Manhattan,Entire home/apt,1,individual
False,False,False,-0.8393430363727069,0,False,False,True,False,True,False,True,4.61512051684126,100,East Village,Manhattan,Entire home/apt,1,individual
True,False,True,1.6481442896573666,0,False,False,False,False,True,False,False,4.330733340286331,75,Prospect-Lefferts Gardens,Brooklyn,Private room,5,individual
True,False,True,1.041627318187071,0,False,False,False,False,True,False,True,4.51085950651685,90,Williamsburg,Brooklyn,Private room,1,individual
False,False,False,0.611691237144836,0,False,False,True,False,True,False,False,5.017279836814924,150,Upper East Side,Manhattan,Entire home/apt,2,individual
False,False,True,1.517627979340974,0,False,False,True,False,True,False,False,4.454347296253507,85,Washington Heights,Manhattan,Private room,2,individual
True,False,True,1.540660269396808,0,False,False,False,True,False,False,False,4.262679877041316,70,Bedford-Stuyvesant,Brooklyn,Private room,5,small
False,False,False,0.7959495575915081,0,False,False,True,True,False,False,False,4.795790545596741,120,Harlem,Manhattan,Entire home/apt,2,small
True,False,True,1.294982508801245,0,False,False,False,False,True,False,False,4.499809670330265,89,Clinton Hill,Brooklyn,Private room,5,individual
False,False,False,0.7652398375170627,0,False,False,True,False,True,False,True,5.225746673713202,185,East Village,Manhattan,Entire home/apt,1,individual
True,False,True,-0.8393430363727069,0,False,False,False,False,True,False,False,3.9318256327243257,50,Greenpoint,Brooklyn,Private room,0,individual
False,False,False,-0.7165041560749255,0,False,False,True,False,True,False,True,4.663439094112067,105,Lower East Side,Manhattan,Entire home/apt,1,individual
False,False,True,0.9571755879823464,0,False,False,True,True,False,False,True,4.875197323201151,130,Hell's Kitchen,Manhattan,Private room,1,small
False,False,False,-0.7472138761493708,0,False,False,True,False,True,False,True,4.7535901911063645,115,West Village,Manhattan,Entire home/apt,1,individual
True,False,True,0.5272395069401112,0,False,False,False,False,True,False,False,4.356708826689592,77,Flatlands,Brooklyn,Private room,5,individual
True,False,True,1.271950218745411,0,False,False,False,True,False,False,False,4.343805421853684,76,Clinton Hill,Brooklyn,Private room,5,small
True,False,False,0.4120780566609412,0,False,False,False,True,False,False,False,4.836281906951478,125,Bedford-Stuyvesant,Brooklyn,Entire home/apt,0,small
True,False,True,1.962918920420432,0,False,False,False,True,False,False,False,4.912654885736052,135,Clinton Hill,Brooklyn,Private room,5,small
True,False,False,-0.5783104157399214,0,False,False,False,False,True,False,True,5.525452939131784,250,Greenpoint,Brooklyn,Entire home/apt,1,individual
True,False,False,1.310337368838468,0,False,False,False,False,True,False,False,5.298317366548036,199,Williamsburg,Brooklyn,Entire home/apt,0,individual
True,False,False,-0.8393430363727069,0,False,False,False,False,True,False,False,4.948759890378168,140,Cobble Hill,Brooklyn,Entire home/apt,5,individual
False,False,True,-0.8316656063540956,0,False,True,False,False,True,False,False,4.948759890378168,140,Flushing,Queens,Private room,4,individual
True,False,False,0.4658200667912205,0,False,False,False,True,False,False,False,4.7535901911063645,115,Bedford-Stuyvesant,Brooklyn,Entire home/apt,0,small
True,False,False,0.6040138071262247,0,False,False,False,False,True,False,False,5.081404364984463,160,Williamsburg,Brooklyn,Entire home/apt,0,individual
True,False,False,0.8036269876101194,0,False,False,False,False,True,False,True,5.278114659230517,195,Williamsburg,Brooklyn,Entire home/apt,1,individual
False,False,False,1.064659608242905,0,False,False,True,False,True,False,True,5.278114659230517,195,East Village,Manhattan,Entire home/apt,1,individual
True,False,True,1.1721436285034637,0,False,False,False,True,False,False,True,4.394449154672439,80,Williamsburg,Brooklyn,Private room,1,small
True,False,True,1.310337368838468,0,False,False,False,True,False,False,False,3.80666248977032,44,Fort Greene,Brooklyn,Private room,5,small
False,False,True,1.517627979340974,0,False,False,True,False,True,False,True,5.056245805348308,156,West Village,Manhattan,Private room,1,individual
True,False,True,1.7633057399365366,0,False,False,False,False,True,False,False,4.454347296253507,85,Prospect Heights,Brooklyn,Private room,5,individual
True,False,True,-0.8316656063540956,0,False,False,False,False,True,False,True,4.836281906951478,125,Williamsburg,Brooklyn,Private room,1,individual
True,False,False,1.2258856386337431,0,False,False,False,False,True,False,False,4.7535901911063645,115,Prospect Heights,Brooklyn,Entire home/apt,5,individual
False,False,True,-0.7625687361865935,0,False,False,True,False,True,False,False,4.248495242049359,69,East Harlem,Manhattan,Private room,2,individual
False,False,False,1.5560151294340303,0,False,False,True,False,True,False,True,5.420534999272286,225,West Village,Manhattan,Entire home/apt,1,individual
True,False,False,0.611691237144836,0,False,False,False,False,True,False,True,4.836281906951478,125,Williamsburg,Brooklyn,Entire home/apt,1,individual
False,False,False,1.387111669024581,0,False,False,True,True,False,False,False,5.393627546352362,219,Upper East Side,Manhattan,Entire home/apt,2,small
False,False,False,0.4197554866795525,0,False,False,True,True,False,False,False,4.605170185988092,99,Upper East Side,Manhattan,Entire home/apt,2,small
True,False,True,-0.4324392453863059,0,False,False,False,True,False,False,False,4.248495242049359,69,Williamsburg,Brooklyn,Private room,0,small
False,False,True,0.1280131459723217,0,False,True,False,False,True,False,False,4.382026634673881,79,Sunnyside,Queens,Private room,0,individual
True,False,False,-0.8163107463168728,0,False,False,False,True,False,False,False,4.912654885736052,135,Bedford-Stuyvesant,Brooklyn,Entire home/apt,5,small
True,False,True,0.611691237144836,0,False,False,False,False,True,False,True,5.525452939131784,250,DUMBO,Brooklyn,Private room,1,individual
False,False,False,1.962918920420432,0,False,False,True,False,True,False,True,5.525452939131784,250,Upper East Side,Manhattan,Entire home/apt,1,individual
True,False,False,-0.8393430363727069,0,False,False,False,False,True,False,False,5.525452939131784,250,Gowanus,Brooklyn,Entire home/apt,5,individual
False,False,False,-0.8393430363727069,0,False,False,True,False,True,False,False,4.394449154672439,80,Harlem,Manhattan,Entire home/apt,2,individual
True,False,True,1.7402734498807026,0,False,False,False,True,False,False,False,4.262679877041316,70,Clinton Hill,Brooklyn,Private room,5,small
True,False,False,1.7863380299923708,0,False,False,False,True,False,False,False,5.111987788356544,165,Carroll Gardens,Brooklyn,Entire home/apt,5,small
False,False,True,1.5560151294340303,0,True,False,False,False,True,True,False,4.262679877041316,70,St. George,Staten Island,Private room,3,individual
True,False,True,-0.5552781256840874,0,False,False,False,False,True,False,False,3.9318256327243257,50,Bushwick,Brooklyn,Private room,0,individual
False,False,True,1.8707897601970955,0,False,False,False,True,False,False,False,3.713572066704308,40,Highbridge,Bronx,Private room,2,small
True,False,False,0.5195620769214999,0,False,False,False,False,True,False,True,5.017279836814924,150,Williamsburg,Brooklyn,Entire home/apt,1,individual
False,False,True,1.540660269396808,0,False,False,True,True,False,False,True,4.836281906951478,125,East Village,Manhattan,Private room,1,small
False,False,False,-0.8393430363727069,0,False,False,True,False,True,False,True,5.2832037287379885,196,Financial District,Manhattan,Entire home/apt,1,individual
True,False,True,1.6251119996015326,0,False,False,False,True,False,False,False,4.709530201312334,110,Fort Greene,Brooklyn,Private room,5,small
False,False,False,1.0493047482056823,0,False,False,True,False,True,False,True,5.14166355650266,170,West Village,Manhattan,Entire home/apt,1,individual
False,False,False,0.9341432979265122,0,False,False,True,True,False,False,False,5.111987788356544,165,Harlem,Manhattan,Entire home/apt,2,small
False,False,False,0.8880787178148442,0,False,False,True,False,True,False,True,5.017279836814924,150,West Village,Manhattan,Entire home/apt,1,individual
False,False,False,-0.8393430363727069,0,False,False,True,False,True,False,False,4.61512051684126,100,Harlem,Manhattan,Entire home/apt,2,individual
True,False,True,-0.8393430363727069,0,False,False,False,True,False,False,False,4.189654742026425,65,Fort Greene,Brooklyn,Private room,5,small
False,False,True,0.9494981579637348,0,False,False,True,True,False,False,False,4.605170185988092,99,Morningside Heights,Manhattan,Private room,2,small
True,False,False,-0.8316656063540956,0,False,False,False,False,True,False,True,5.303304908059076,200,Williamsburg,Brooklyn,Entire home/apt,1,individual
True,False,False,-0.7011492960377028,0,False,False,False,False,True,False,False,5.017279836814924,150,Park Slope,Brooklyn,Entire home/apt,5,individual
True,False,True,1.794015460010982,0,False,False,False,True,False,False,False,4.51085950651685,90,Bedford-Stuyvesant,Brooklyn,Private room,5,small
True,False,True,1.0800144682801276,0,False,False,False,True,False,False,False,4.795790545596741,120,Prospect Heights,Brooklyn,Private room,5,small
False,False,True,1.6634991496945892,0,False,False,True,False,True,False,False,4.330733340286331,75,Upper East Side,Manhattan,Private room,2,individual
True,False,False,1.9552414904018205,0,False,False,False,False,True,False,False,5.170483995038151,175,Bedford-Stuyvesant,Brooklyn,Entire home/apt,0,individual
False,False,False,-0.8393430363727069,0,False,False,True,False,True,False,True,4.836281906951478,125,Chelsea,Manhattan,Entire home/apt,1,individual
False,False,False,1.4562085391920832,0,False,False,True,False,True,False,True,5.62040086571715,275,Hell's Kitchen,Manhattan,Entire home/apt,1,individual
False,False,False,0.7498849774798401,0,False,False,True,False,True,False,True,5.703782474656201,299,Lower East Side,Manhattan,Entire home/apt,1,individual
True,False,False,0.4044006266423298,0,False,False,False,True,False,False,False,4.912654885736052,135,South Slope,Brooklyn,Entire home/apt,5,small
False,False,True,-0.8393430363727069,1,False,False,True,True,False,False,False,4.875197323201151,130,Upper East Side,Manhattan,Private room,2,small
False,False,True,-0.7856010262424276,0,False,False,True,False,True,False,True,4.430816798843313,83,Lower East Side,Manhattan,Private room,1,individual
False,False,True,1.678854009731812,0,False,False,True,False,True,False,True,4.820281565605037,123,Chelsea,Manhattan,Private room,1,individual
False,False,True,1.962918920420432,0,False,True,False,True,False,False,False,4.02535169073515,55,Jamaica,Queens,Private room,4,small
False,False,False,-0.8393430363727069,0,False,False,True,False,True,False,True,5.278114659230517,195,Hell's Kitchen,Manhattan,Entire home/apt,1,individual
True,False,True,-0.8393430363727069,0,False,False,False,False,True,False,False,4.394449154672439,80,Bedford-Stuyvesant,Brooklyn,Private room,0,individual
False,False,False,1.0032401680940142,0,False,True,False,True,False,False,False,4.59511985013459,98,Middle Village,Queens,Entire home/apt,0,small
False,False,True,1.962918920420432,0,False,True,False,True,False,False,False,4.948759890378168,140,Ridgewood,Queens,Private room,0,small
False,False,False,1.962918920420432,0,False,True,False,True,False,False,False,5.583496308781699,265,Middle Village,Queens,Entire home/apt,0,small
True,False,False,0.4197554866795525,0,False,False,False,True,False,False,True,5.521460917862246,249,Williamsburg,Brooklyn,Entire home/apt,1,small
False,True,False,1.9475640603832087,0,False,False,True,False,True,False,True,4.663439094112067,105,Hell's Kitchen,Manhattan,Shared room,1,individual
False,False,True,1.962918920420432,1,False,False,True,False,True,False,False,5.303304908059076,200,Harlem,Manhattan,Private room,2,individual
True,False,True,1.0800144682801276,0,False,False,False,True,False,False,False,4.61512051684126,100,Prospect Heights,Brooklyn,Private room,5,small
False,False,False,1.0569821782242936,0,False,False,True,True,False,False,False,4.804021044733257,121,Harlem,Manhattan,Entire home/apt,2,small
False,False,True,1.6404668596387553,0,False,False,False,True,False,False,False,3.828641396489095,45,Highbridge,Bronx,Private room,2,small
False,False,True,0.63472352720067,0,False,False,True,False,True,False,False,4.61512051684126,100,East Harlem,Manhattan,Private room,2,individual
True,False,False,0.1203357159537103,0,False,False,False,False,True,False,False,4.948759890378168,140,Williamsburg,Brooklyn,Entire home/apt,0,individual
True,False,True,-0.1406969046790751,0,False,False,False,False,True,False,False,4.276666119016055,71,Bedford-Stuyvesant,Brooklyn,Private room,0,individual
False,False,True,-0.2635357849768565,0,False,False,True,False,True,False,True,4.875197323201151,130,NoHo,Manhattan,Private room,1,individual
False,False,False,1.3564019489501358,0,False,False,True,False,True,False,True,5.298317366548036,199,West Village,Manhattan,Entire home/apt,1,individual
True,False,True,-0.3786972352560266,0,False,False,False,True,False,False,False,4.248495242049359,69,Williamsburg,Brooklyn,Private room,0,small
True,False,True,-0.8393430363727069,0,False,False,False,False,True,False,False,4.23410650459726,68,Fort Greene,Brooklyn,Private room,5,individual
False,False,False,0.63472352720067,0,False,False,True,False,True,False,True,4.875197323201151,130,East Village,Manhattan,Entire home/apt,1,individual
True,False,False,-0.3940520952932493,0,False,False,False,False,True,False,True,5.278114659230517,195,Greenpoint,Brooklyn,Entire home/apt,1,individual
